country,hdi_2022,le_2022,mys_2022,gnipc_2022,ineq_le_2022,ineq_edu_2022,ineq_inc_2022,co2_prod_2022
Afghanistan,0.462,62.879,2.514790058,1335.205733,24.582642,48.81007,29.2251,0.306318324
Albania,0.789,76.833,10.12114431,15293.32651,6.3571758,12.33344,19.73435,1.717757671
Algeria,0.745,77.129,6.987443608,10978.40571,11.433661,33.28262,16.80919,4.079540189
Andorra,0.884,83.552,11.61343956,54233.44948,4.7761378,5.5804,14.40248,4.593592631
Angola,0.591,61.929,5.844291601,5327.788251,28.326736,34.17144,58.06592,0.507358992
Antigua and Barbuda,0.826,79.236,10.54622968,18783.96536,4.8117924,,,6.401055579
Argentina,0.849,76.064,11.14408016,22047.97131,7.2976141,5.34544,22.59534,4.190779468
Armenia,0.786,73.372,11.33030033,15388.29976,6.3227215,2.93495,15.12082,2.531087713
Australia,0.946,83.579,12.72681999,49257.1352,3.2510498,4.74472,18.4899,14.91476303
Austria,0.926,82.412,12.30571367,56529.66329,2.9445238,2.59239,15.60702,7.399461247
Azerbaijan,0.76,73.488,10.55612992,15018.05443,11.4209,3.5519,5.702734,3.717029937
Bahamas,0.82,74.358,12.73161494,32534.88784,8.9189005,6.9139,37.55426,5.14996102
Bahrain,0.888,79.246,11.04658985,48731.44564,4.3968587,8.8248,,26.05303892
Bangladesh,0.67,73.698,7.379059792,6511.122178,14.123047,37.31177,35.94156,0.583152966
Barbados,0.809,77.706,9.89206168,14810.23783,7.8255773,5.54685,48.98357,4.361308677
Belarus,0.801,73.246,12.24122445,18425.01061,3.2710373,2.77203,12.70066,6.362198529
Belgium,0.942,82.293,12.52857789,53644.03854,3.2349932,5.68684,11.31634,8.23913942
Belize,0.7,70.962,8.847599983,9242.082259,9.0509014,14.81278,,1.755038984
Benin,0.504,59.954,3.137261725,3406.072937,32.442249,43.69355,39.25987,0.639583531
Bhutan,0.681,72.229,5.835794662,10624.87388,14.011258,48.2273,28.57549,1.366198234
Bolivia (Plurinational State of),0.698,64.928,9.827750206,7987.842247,17.160549,15.0406,26.91283,1.798596826
Bosnia and Herzegovina,0.779,75.293,10.53631973,16571.41275,3.9787452,10.9216,26.50154,6.095489894
Botswana,0.708,65.913,10.42,14841.57836,21.593643,23.27683,45.48167,2.370748521
Brazil,0.76,73.425,8.278307638,14615.89235,9.5668726,13.88125,43.72531,2.319857519
Brunei Darussalam,0.823,74.551,9.22,59245.63485,7.5510521,14.9179,12.12374,25.37625765
Bulgaria,0.799,71.528,11.41318035,25920.80375,5.2625022,5.77279,23.71559,6.14038782
Burkina Faso,0.438,59.766,2.318685239,2036.997179,30.507292,46.07097,43.38111,0.266000829
Burundi,0.42,61.977,3.305215598,712.0260007,25.080359,39.48821,39.51852,0.063739656
Cabo Verde,0.661,74.722,6.09003905,7601.085433,8.7697802,27.3887,45.38292,0.950563422
Cambodia,0.6,69.896,5.197100163,4291.113168,15.267807,28.10307,35.81779,1.213483157
Cameroon,0.587,60.958,6.537401781,3681.469988,27.446411,31.71699,52.85953,0.378614686
Canada,0.935,82.847,13.86876597,48444.39319,4.0289364,2.31216,15.98202,14.0787192
Central African Republic,0.387,54.477,3.9531639,869.11237,35.010849,35.19785,45.46914,0.045672158
Chad,0.394,52.997,2.282753488,1388.897502,37.748943,42.9329,38.23162,0.143576096
Chile,0.86,79.519,11.11136804,24430.99593,4.9727254,7.14453,37.73972,4.567606811
China,0.788,78.587,8.106910446,18024.88747,5.4146132,10.2931,30.28756,7.9502786
Colombia,0.758,73.659,8.862859726,15013.92724,9.2874193,17.2045,43.99135,1.858932279
Comoros,0.586,63.68,6.209056832,3260.555466,25.601053,47.61438,52.44411,0.50525483
Congo,0.593,63.053,8.250552585,2902.808037,23.255434,20.93222,55.11418,1.243341537
Congo (Democratic Republic of the),0.481,59.743,7.206164799,1080.138308,30.767897,26.76947,44.81499,0.041094283
Costa Rica,0.806,77.32,8.804059982,20248.38031,5.9718108,11.09928,35.58662,1.485363576
Côte d'Ivoire,0.534,58.916,4.23697763,5376.396062,30.397083,46.11446,43.44592,0.4268649
Croatia,0.878,79.236,12.32871821,34323.80663,3.2572069,3.94248,13.54047,4.288182536
Cuba,0.764,78.155,10.54807197,7953.448426,4.5452847,9.09712,,1.860332974
Cyprus,0.907,81.889,12.44017029,40136.89453,2.5269558,8.66152,14.84853,5.64978926
Czechia,0.895,78.129,12.91605342,39944.66682,3.1041934,1.22954,11.10945,9.196792884
Denmark,0.952,81.882,12.96049023,62018.95694,3.0678389,2.60018,11.01864,5.057582197
Djibouti,0.515,62.859,3.889984156,4874.51828,24.743258,45.782,28.69215,0.411412528
Dominica,0.74,72.981,9.1863441,12467.85548,8.9141264,,,2.096613821
Dominican Republic,0.766,74.17,9.150526383,18653.26836,16.647608,14.58773,22.94886,2.139348057
Ecuador,0.765,77.894,8.969750404,10693.23484,8.8871927,11.80805,30.60738,2.23241865
Egypt,0.728,70.159,9.84810224,12360.8163,10.719762,36.94291,18.67705,2.259567808
El Salvador,0.674,71.475,7.150929928,8886.173528,9.2424412,22.61124,23.33058,1.185857137
Equatorial Guinea,0.65,61.19,8.281327014,10662.65921,29.053387,,,3.444060629
Eritrea,0.493,66.604,5.09136442,1957.046464,20.137989,,,0.193472275
Estonia,0.899,79.155,13.54843044,37151.63384,3.1586015,1.90564,15.67359,7.842170661
Eswatini (Kingdom of),0.61,56.36,5.73,8391.855111,24.356037,24.08637,60.49704,0.948945332
Ethiopia,0.492,65.645,2.390854081,2368.758391,21.905178,42.77036,36.45498,0.157292351
Fiji,0.729,68.312,10.37096977,11233.65882,12.543874,8.62374,18.51725,1.174224808
Finland,0.942,82.351,12.92915501,49522.09853,2.6220031,2.14108,12.75218,6.854598056
France,0.91,83.229,11.68859246,47378.74304,3.6262488,7.78702,17.8871,4.753896411
Gabon,0.693,65.694,9.55,11194.21884,19.8088,20.63595,31.41673,2.51172593
Gambia,0.495,62.906,4.512420177,2089.626826,21.991455,47.00005,40.11136,0.2867667
Georgia,0.814,71.587,12.70217037,15952.02452,6.6533728,2.68027,21.44991,2.942032688
Germany,0.95,80.989,14.25594044,55340.19722,3.3271089,3.7646,14.34606,8.138240833
Ghana,0.602,63.945,6.432318439,5380.271535,22.500053,35.10167,50.9502,0.638570347
Greece,0.893,80.614,11.40853024,31381.667,3.4960017,10.3175,16.82467,5.510223913
Grenada,0.793,75.335,9.85796464,13593.24958,9.23071,,,2.647058824
Guatemala,0.629,68.674,5.668648013,8996.415822,14.303102,34.95493,32.80177,1.117824857
Guinea,0.471,58.985,2.35910296,2404.165832,34.90303,50.12411,31.63119,0.359690645
Guinea-Bissau,0.483,59.861,3.673035,1879.853611,29.17098,42.08704,35.31297,0.155794986
Guyana,0.742,65.989,8.627408726,35782.90961,16.212286,10.42545,,4.429587592
Haiti,0.552,63.728,5.609468426,2801.712516,25.534592,37.33677,52.06961,0.211870311
Honduras,0.624,70.728,7.296200514,5271.604988,9.7231598,21.61232,35.56672,1.054158038
"Hong Kong, China (SAR)",0.956,84.315,12.34776974,62485.50516,2.2119029,8.6808,24.08448,4.373241562
Hungary,0.851,74.958,12.24958992,34195.54059,3.9028568,2.65976,11.33596,5.001541744
Iceland,0.959,82.815,13.76716995,54688.37921,2.2479441,2.20077,10.67821,9.478175166
India,0.644,67.744,6.570700169,6950.526798,17.34017,36.87573,37.36087,1.899893859
Indonesia,0.713,68.25,8.556509972,12045.56544,12.753433,15.497,23.63562,2.249929938
